date,PL10NUM,PL10
8030620,0,2.24
8030625,0,2.17
8030630,0,2.19
8030635,0,2.18
8030640,0,2.14
8030645,0,2.15
8030650,0,2.14
8030655,0,2.15
8030700,0,2.15
8030705,0,2.24
8030710,0,2.13
8030715,0,2.2
8030720,0,2.21
8030725,0,2.2
8030730,0,2.26
8030735,0,2.17
8030740,0,2.25
8030745,0,2.21
8030750,0,2.19
8030755,0,2.2
8030800,0,2.17
8030805,0,2.28
8030810,0,2.19
8030815,0,2.18
8030820,0,2.11
8030825,0,2.21
8030830,0,2.25
8030835,0,2.24
8030840,0,2.23
8030845,0,2.23
8030850,0,2.22
8030855,0,2.12
8030900,0,2.18
8030905,0,2.15
8030910,0,2.2
8030915,0,2.14
8030920,0,2.2
8030925,0,2.2
8030930,0,2.17
8030935,0,2.19
8030940,0,2.21
8030945,0,2.24
8030950,0,2.22
8030955,0,2.22
8031000,0,2.21
8031005,0,2.15
8031010,0,2.19
8031015,0,2.16
8031020,0,2.23
8031025,0,2.21
8031030,0,2.23
8031035,0,2.17
8031040,0,2.19
8031045,0,2.16
8031050,0,2.23
8031055,0,2.19
8031100,0,2.21
8031105,0,2.21
8031110,0,2.12
8031115,0,2.17
8031120,0,2.17
8031125,0,2.18
8031130,0,2.23
8031135,0,2.21
8031140,0,2.22
8031145,0,2.17
8031150,0,2.21
8031155,0,2.22
8031200,0,2.18
8031205,0,2.17
8031210,0,2.28
8031215,0,2.23
8031220,0,2.19
8031225,0,2.16
8031230,0,2.16
8031235,0,2.2
8031240,0,2.19
8031245,0,2.18
8031250,0,2.23
8031255,0,2.14
8031300,0,2.14
8031305,0,2.19
8031310,0,2.19
8031315,0,2.21
8031320,0,2.21
8031325,0,2.2
8031330,0,2.14
8031335,0,2.22
8031340,0,2.2
8031345,0,2.22
8031350,0,2.19
8031355,0,2.19
8031400,0,2.19
8031405,0,2.14
8031410,0,2.23
8031415,0,2.2
8031420,0,2.18
8031425,0,2.13
8031430,0,2.22
8031435,0,2.15
8031440,0,2.11
8031445,0,2.18
8031450,0,2.21
8031455,0,2.25
8031500,0,2.19
8031510,0,2.21
8031515,0,2.12
8031520,0,2.25
8031525,0,2.16
8031530,0,2.13
8031535,0,2.09
8031540,0,2.27
8031545,0,2.06
8031550,0,2.1
8031555,0,2.18
8031600,0,2.12
8031605,0,2.17
8031610,0,2.05
8031615,0,2.24
8031620,0,2.28
8031625,0,2.17
8031630,0,2.15
8031635,0,2.15
8031640,0,2.14
8031700,0,2.24
8031705,0,2.13
8031710,0,2.3
8031720,0,2.24
8031730,0,2.21
8031735,0,2.21
8031740,0,2.21
8031745,0,2.14
8031750,0,2.26
8031755,0,2.26
8031820,0,2.2
8031825,0,2.19
8031830,0,2.2
8031835,0,2.19
8031840,0,2.13
8031845,0,2.2
8031850,0,2.21
8031855,0,2.2
8031900,0,2.21
8031905,0,2.18
8031910,0,2.18
8031915,0,2.15
8031920,0,2.21
8031925,0,2.21
8031930,0,2.22
8031935,0,2.24
8031940,0,2.2
8031950,0,2.16
8031955,0,2.15
8032000,0,2.22
8032005,0,2.14
8032010,0,2.21
8032015,0,2.18
8032020,0,2.18
8032025,0,2.16
8032030,0,2.18
8032035,0,2.16
8032040,0,2.23
8032045,0,2.19
8032050,0,2.15
8032055,0,2.11
8032100,0,2.23
8032105,0,2.23
8032110,0,2.22
8032115,0,2.26
8032120,0,2.28
8032125,0,2.17
8032130,0,2.14
8032135,0,2.22
8032140,0,2.22
8032145,0,2.2
8032150,0,2.19
8032155,0,2.19
8032200,0,2.14
8032205,0,2.19
8032210,0,2.22
8032215,0,2.18
8032220,0,2.21
8032225,0,2.22
8032230,0,2.2
8032235,0,2.16
8032240,0,2.21
8032245,0,2.24
8032250,0,2.19
8032255,0,2.21
8032300,0,2.18
8032305,0,2.23
8032310,0,2.12
8032315,0,2.19
8032320,0,2.21
8032325,0,2.19
8032330,0,2.22
8032335,0,2.28
8032340,0,2.15
8040330,0,2.25
8040400,0,2.25
8040405,0,2.21
8040410,0,2.21
8040415,0,2.14
8040420,0,2.17
8040425,0,2.23
8040430,0,2.23
8040435,0,2.24
8040440,0,2.25
8040445,0,2.24
8040450,0,2.11
8040455,0,2.17
8040500,0,2.19
8040505,0,2.25
8040510,0,2.3
8040515,0,2.23
8040520,0,2.21
8040525,0,2.14
8040530,0,2.17
8040535,0,2.19
8040540,0,2.23
8040545,0,2.28
8040550,0,2.28
8040555,0,2.17
8040600,0,2.16
8040605,0,2.26
8040610,0,2.24
8040615,0,2.23
8040620,0,2.27
8040625,0,2.21
8040630,0,2.15
8040635,0,2.14
8040640,0,2.22
8040645,0,2.27
8040650,0,2.25
8040655,0,2.26
8040700,0,2.29
8040705,0,2.17
8040710,0,2.24
8040715,0,2.22
8040720,0,2.21
8040725,0,2.25
8040730,0,2.23
8040735,0,2.27
8040740,0,2.13
8040745,0,2.17
8040750,0,2.24
8040755,0,2.27
